Cluster,gene_representative,pan_gene_class,product_name,frequency
Cluster 50609,562.22677.peg.2212,unique,holin_1,10
Cluster 50610,562.22681.peg.3694,unique,Uncharacterized protein YjiH_3,9
Cluster 50613,562.22695.peg.5161,unique,GDP-mannose mannosyl hydrolase_6,17
Cluster 50624,562.22757.peg.1995,unique,Flagellar motor switch protein FliG_4,5
Cluster 50628,562.22802.peg.4872,unique,Transposase_212,18
Cluster 50645,562.23005.peg.5103,accessory,Glucose-1-phosphatase (EC 3.1.3.10)_7,261
Cluster 50658,562.23187.peg.1551,unique,Uncharacterized inner membrane transporter YicL_5,5
Cluster 50660,562.23283.peg.3556,accessory,Ethanolamine utilization polyhedral-body-like protein EutS_4,1664
Cluster 50671,562.23476.peg.5173,unique,Phage protein_447,7
Cluster 50678,562.23555.peg.1456,unique,Invasin_50,9
Cluster 50680,562.23571.peg.2786,core,Protein translocase membrane subunit SecG_1,1970
Cluster 50681,562.23622.peg.2728,unique,Phage antirepressor protein_29,7
Cluster 50687,562.23719.peg.4476,unique,"Phage tail fiber, tail fiber assembly protein Tfa_33",9
Cluster 50691,562.23764.peg.4909,unique,General secretion pathway protein I_8,25
Cluster 50696,562.23786.peg.4670,unique,Lipopolysaccharide biosynthesis associated protein HtrL_6,8
Cluster 50702,562.23890.peg.4933,unique,Retron-type RNA-directed DNA polymerase (EC 2.7.7.49)_79,164
Cluster 50712,562.28810.peg.1389,unique,Hydrogenase-4 component D_15,5
Cluster 50716,562.31449.peg.38,unique,Mobile element protein_878,7
Cluster 50717,562.31464.peg.708,unique,Glutamate decarboxylase (EC 4.1.1.15)_16,5
Cluster 50721,562.42641.peg.4041,unique,Glutamate decarboxylase (EC 4.1.1.15)_20,27
Cluster 50722,562.42644.peg.5230,unique,Uncharacterized protein YeeP_25,8
Cluster 50730,562.42703.peg.4955,unique,Protein RhsD_126,6
Cluster 50733,562.42721.peg.5018,unique,Protein RhsB_50,6
Cluster 50743,562.42810.peg.5288,unique,Mobile element protein_1186,18
Cluster 50746,562.42818.peg.3525,core,Periplasmic divalent cation tolerance protein CutA_3,1969
Cluster 50749,562.42818.peg.1640,accessory,Flagellar basal-body rod protein FlgB_2,576
Cluster 50751,562.42838.peg.787,unique,L-carnitine/gamma-butyrobetaine antiporter_9,6
Cluster 50765,562.7566.peg.4420,unique,ATP-binding transposition helper protein_18,24
Cluster 50766,562.7567.peg.3993,unique,Transposase_548,13
Cluster 50767,562.7570.peg.1897,unique,adhesin_17,15
Cluster 50768,562.7570.peg.4257,unique,Nickel/cobalt efflux transporter RcnA_9,10
Cluster 50775,562.7623.peg.3738,unique,DNA-damage-inducible protein I_19,24
Cluster 50777,562.7636.peg.5427,unique,Phage protein_706,7
Cluster 50781,562.7652.peg.5266,unique,Mobile element protein_1438,6
Cluster 50789,562.7705.peg.5468,unique,Phage endopeptidase Rz_90,36
Cluster 50792,562.7747.peg.5066,unique,Phage head-tail adapter_19,113
Cluster 50799,562.7779.peg.862,unique,Exodeoxyribonuclease VIII (EC 3.1.11.-)_143,14
Cluster 50803,562.12959.peg.3653,accessory,putative structure; Structural component (Phage or Prophage Related)_1,515
Cluster 50805,562.12959.peg.3831,core,UPF0757 protein YmgG_1,1960
Cluster 50806,562.12959.peg.4983,core,Iron-sulfur cluster insertion protein ErpA_1,1970
Cluster 50807,562.12959.peg.3670,accessory,"Uncharacterized protein, YdfR family_1",785
Cluster 50815,562.12961.peg.481,core,UPF0131 protein YtfP_1,1970
Cluster 50823,562.16324.peg.1399,unique,Uncharacterized protein YaiZ_2,22
Cluster 50825,562.16466.peg.4548,accessory,putative structure; Structural component (Phage or Prophage Related)_2,445
Cluster 50826,562.16466.peg.3021,unique,Phage protein_66,163
Cluster 50829,562.19186.peg.225,unique,Transposase_38,6
Cluster 50837,562.22435.peg.4037,unique,Toxin HigB_8,84
Cluster 50839,562.22444.peg.4543,unique,"Transcriptional regulator, AraC family_27",7
Cluster 50845,562.22462.peg.3482,unique,Uncharacterized protein YaiT_4,13
Cluster 50847,562.22474.peg.4822,unique,"Phage head, terminase subunit Nu1_5",61
Cluster 50848,562.22477.peg.2245,unique,LysR family transcriptional regulator YgfI_4,22
Cluster 50854,562.22507.peg.5107,unique,"H repeat-associated protein, YhhI family_14",11
Cluster 50855,562.22521.peg.3760,unique,N-acetylneuraminate epimerase (EC 5.1.3.24)_4,42
Cluster 50858,562.22529.peg.986,unique,"Iron compound ABC transporter, permease protein_5",6
Cluster 50861,562.22542.peg.3872,unique,Porin thermoregulatory protein envY_2,6
Cluster 50865,562.22589.peg.4052,unique,Clamp-binding protein CrfC_3,9
Cluster 50872,562.22652.peg.33,unique,Putative mannosyl-3-phosphoglycerate phosphatase (EC 3.1.3.70)_2,31
Cluster 50890,562.22776.peg.341,unique,"Trimethylamine-N-oxide reductase (EC 1.7.2.3), TorZ_8",5
Cluster 50891,562.22776.peg.4785,unique,Phage tail completion protein GpR_7,5
Cluster 50896,562.22823.peg.1499,unique,Programmed cell death toxin MazF_2,7
Cluster 50897,562.22824.peg.4577,unique,"Protein At2g37660, chloroplast precursor_7",117
Cluster 50899,562.22845.peg.5088,unique,Phage protein_316,8
Cluster 50910,562.22933.peg.1229,accessory,Flagellar hook-basal body complex protein FliE_2,1940
Cluster 50913,562.22962.peg.1459,unique,O-antigen chain length determinant protein WzzB_11,8
Cluster 50915,562.22978.peg.3313,unique,"AAA+ ATPase superfamily protein YifB/ComM, associated with DNA recombination_3",22
Cluster 50925,562.23050.peg.4490,unique,Putative superfamily I DNA helicases_13,11
Cluster 50943,562.23385.peg.3585,unique,Uncharacterized fimbrial-like protein YadN_5,6
Cluster 50946,562.23479.peg.2726,unique,Uncharacterized protein YgeA of aspartate/glutamate/hydantoin racemase family_7,5
Cluster 50948,562.23490.peg.3482,unique,putative membrane protein_72,157
Cluster 50957,562.23591.peg.2670,accessory,"FIG018226: DNA replication protein, phage-associated_3",291
Cluster 50959,562.23614.peg.4160,unique,Uncharacterized protein RclB associated with response to reactive chlorine species_3,5
Cluster 50984,562.42635.peg.5410,unique,Phage tape measure protein Mup42_38,25
Cluster 50989,562.42668.peg.2169,accessory,Programmed cell death toxin MazF_3,1047
Cluster 50990,562.42677.peg.5136,unique,Mobile element protein_1028,6
Cluster 50992,562.42688.peg.2885,unique,Uncharacterized glycosyltransferase YaiP_5,8
Cluster 51000,562.42749.peg.2577,unique,Inner membrane ABC transporter permease protein YcjO_7,8
Cluster 51006,562.42818.peg.4679,core,Outer membrane beta-barrel assembly protein BamE_1,1970
Cluster 51008,562.42840.peg.5126,unique,Phage major spike protein_2,5
Cluster 51016,562.45403.peg.4918,unique,IS1 protein InsA_17,11
Cluster 51021,562.7571.peg.101,unique,"IS, phage, Tn; Transposon-related functions_54",110
Cluster 51023,562.7581.peg.5324,unique,Transposase InsO for insertion sequence element IS911_100,9
Cluster 51024,562.7582.peg.4697,unique,Putative uncharacterized protein YjiT_18,7
Cluster 51027,562.7631.peg.1164,unique,Mobile element protein_1413,26
Cluster 51038,562.7702.peg.5024,unique,"Phage tail fiber, tail fiber assembly protein Tfa_56",6
Cluster 51046,562.12959.peg.1645,core,[NiFe] hydrogenase nickel incorporation protein HybF_1,1965
Cluster 51047,562.12959.peg.647,accessory,Leader peptidase (Prepilin peptidase) (EC 3.4.23.43) / N-methyltransferase (EC 2.1.1.-)_1,297
Cluster 51048,562.12959.peg.4193,accessory,Phage immunity repressor protein GpC_1,299
Cluster 51049,562.12959.peg.3648,accessory,"Phage tail tip, assembly protein M_1",529
Cluster 51050,562.12959.peg.3402,core,UPF0482 protein YnfB_1,1963
Cluster 51052,562.12959.peg.4911,accessory,Flagellar hook-basal body complex protein FliE_1,573
Cluster 51053,562.12959.peg.3137,core,FIG00923183: possible exported protein YebY_1,1969
Cluster 51054,562.12959.peg.648,accessory,Leader peptidase (Prepilin peptidase) (EC 3.4.23.43) / N-methyltransferase (EC 2.1.1.-)_2,297
Cluster 51055,562.12960.peg.2132,accessory,"Phage tail tip, assembly protein M_3",429
Cluster 51057,562.12961.peg.5083,unique,Transcriptional activator RamA_1,5
Cluster 51059,562.12962.peg.4100,unique,Phage replication protein GpB_2,123
Cluster 51068,562.16466.peg.1248,unique,"PTS system, fructose-like IIB component FrwD_1",81
Cluster 51069,562.19184.peg.160,accessory,Toxic protein SymE_2,681
Cluster 51071,562.19186.peg.4361,unique,YfjZ protein (antitoxin to YpjF)_1,98
Cluster 51075,562.22428.peg.4591,unique,Phage NinX_2,9
Cluster 51077,562.22430.peg.3622,accessory,"Phosphoenolpyruvate-dihydroxyacetone phosphotransferase (EC 2.7.1.121), subunit DhaM; DHA-specific IIA component / DHA-specific phosphocarrier protein HPr / DHA-specific EI component_4",372
Cluster 51082,562.22439.peg.4612,accessory,D-galactarate dehydratase (EC 4.2.1.42)_3,343
Cluster 51083,562.22444.peg.4690,unique,"ISSod13, transposase_2",5
Cluster 51084,562.22448.peg.2018,unique,CDP-alcohol phosphatidyltransferase family protein_2,33
Cluster 51088,562.22453.peg.4570,unique,Toxin YkfI_1,17
Cluster 51091,562.22467.peg.1094,unique,YfjZ protein (antitoxin to YpjF)_2,23
Cluster 51093,562.22467.peg.1093,unique,YpjF toxin protein_1,23
Cluster 51094,562.22468.peg.3984,unique,chaperone FimC_1,26
Cluster 51095,562.22471.peg.5262,unique,UPF0380 proteins YafZ and homologs_10,8
Cluster 51096,562.22471.peg.1055,accessory,Phage holin/antiholin component S_5,298
Cluster 51097,562.22482.peg.1055,unique,"N,N'-diacetylchitobiose-specific regulator ChbR, AraC family_2",5
Cluster 51101,562.22510.peg.1464,unique,Uncharacterized GST-like protein YibF_5,7
Cluster 51102,562.22532.peg.4263,unique,putative membrane prtotein_2,13
Cluster 51103,562.22532.peg.922,unique,Phage protein_171,36
Cluster 51106,562.22547.peg.4104,unique,Uncharacterized protein YdbD_3,15
Cluster 51108,562.22549.peg.2899,unique,Phage tail fiber protein GpH_40,35
Cluster 51114,562.22607.peg.3464,unique,Putative transposase InsK for insertion sequence element IS150_24,10
Cluster 51115,562.22607.peg.3997,unique,YihA_3,19
Cluster 51124,562.22638.peg.4854,unique,Antirestriction protein klcA_8,24
Cluster 51128,562.22668.peg.4854,unique,Insertion element IS401 (Burkholderia multivorans) transposase_8,24
Cluster 51132,562.22697.peg.136,unique,YkfI toxin protein_3,60
Cluster 51136,562.22707.peg.2809,unique,Putative transposase InsQ for insertion sequence element IS609_7,42
Cluster 51137,562.22708.peg.5117,unique,Heat shock protein 60 kDa family chaperone GroEL_5,13
Cluster 51139,562.22731.peg.539,unique,Phage protein_264,8
Cluster 51154,562.22885.peg.4460,unique,Uncharacterized fimbrial-like protein YbgD_5,17
Cluster 51156,562.22937.peg.3906,accessory,Phage replication protein GpB_7,278
Cluster 51164,562.23010.peg.2031,unique,L-ribulose-5-phosphate 4-epimerase SgbE (EC 5.1.3.4)_3,5
Cluster 51165,562.23019.peg.4796,unique,"Uncharacterized protein, YdfR family_23",7
Cluster 51170,562.23152.peg.5412,unique,Resolvase_34,7
Cluster 51172,562.23164.peg.3035,unique,Cell filamentation protein Fic_6,5
Cluster 51173,562.23165.peg.5012,unique,Antigen 43_49,17
Cluster 51177,562.23218.peg.370,accessory,Transposase InsN for insertion sequence element IS911_17,590
Cluster 51192,562.23502.peg.4056,unique,Phage protein_454,155
Cluster 51199,562.23655.peg.4307,unique,Trans-aconitate 2-methyltransferase (EC 2.1.1.144)_11,5
Cluster 51212,562.23922.peg.4830,unique,UPF0380 proteins YafZ and homologs_54,26
Cluster 51222,562.31460.peg.3505,unique,Integrase_151,5
Cluster 51227,562.34085.peg.261,unique,Insertion element IS600 (Shigella sonnei) transposase_10,11
Cluster 51233,562.42643.peg.4862,unique,IncF plasmid conjugative transfer pilus assembly protein TraB_24,7
Cluster 51238,562.42670.peg.3076,unique,"Branched-chain amino acid ABC transporter, ATP-binding protein LivF (TC 3.A.1.4.1)_2",5
Cluster 51242,562.42691.peg.5059,unique,Antigen 43_96,10
Cluster 51246,562.42708.peg.5081,unique,"ABC transporter, substrate-binding protein (cluster 8, B12/iron complex)_16",5
Cluster 51250,562.42757.peg.3696,unique,Putative uncharacterized protein YlbH_6,5
Cluster 51259,562.42818.peg.3474,core,Osmotically-inducible lipoprotein E_1,1970
Cluster 51261,562.42822.peg.4922,unique,Phage DNA adenine methylase (EC 2.1.1.72)_43,5
Cluster 51271,562.45400.peg.4880,accessory,IS1 protein InsA_14,890
Cluster 51276,562.7566.peg.4395,unique,Plasmid SOS inhibition protein PsiB_20,8
Cluster 51277,562.7567.peg.389,core,Inner membrane protein YdgC_2,1967
Cluster 51278,562.7567.peg.4885,unique,Outer membrane usher protein SfmD_17,12
Cluster 51280,562.7577.peg.4588,unique,Stress response diiron-containing protein YciF_11,6
Cluster 51281,562.7581.peg.3671,unique,Transposase InsG for insertion sequence element IS4_54,5
Cluster 51286,562.7626.peg.4536,unique,Insertion element IS600 (Shigella sonnei) transposase_20,10
Cluster 51289,562.7656.peg.5174,unique,"Phage tail, component G_18",5
Cluster 51291,562.7659.peg.4563,unique,Integrase_190,5
Cluster 51304,562.7728.peg.5047,unique,"Phage tail tip, assembly protein I_62",17
Cluster 51308,562.7790.peg.5138,unique,IncF plasmid conjugative transfer DNA-nicking and unwinding protein TraI_118,12
Cluster 51310,562.12959.peg.4688,core,"Nitrogen regulatory protein P-II, GlnK_1",1970
Cluster 51311,562.12959.peg.2288,core,Nitrogen regulatory protein P-II_1,1970
Cluster 51313,562.12959.peg.1103,core,UPF0438 protein YifE_1,1970
Cluster 51314,562.12959.peg.834,core,Chaperone HdeB_1,1964
Cluster 51315,562.12959.peg.60,accessory,Toxic protein SymE_1,653
Cluster 51317,562.12959.peg.2766,core,Nickel/cobalt homeostasis protein RcnB_1,1961
Cluster 51321,562.12960.peg.2139,accessory,Phage head-tail adapter_1,448
Cluster 51329,562.13502.peg.2992,accessory,Uncharacterized protein YmfM_1,489
Cluster 51330,562.13502.peg.694,unique,"Inhibitor of vertebrate c-type lysozyme, periplasmic => PliC_1",28
Cluster 51332,562.13502.peg.662,unique,Peptide deformylase (EC 3.5.1.88)_2,5
Cluster 51333,562.16324.peg.1393,core,Phosphate starvation-inducible protein PsiF_2,1962
Cluster 51336,562.16324.peg.5605,unique,Antitoxin HigA_6,20
Cluster 51339,562.16466.peg.3438,accessory,Phage protein_54,342
Cluster 51342,562.22430.peg.3995,accessory,Integrase_20,432
Cluster 51343,562.22432.peg.4953,unique,Uncharacterized protein STM4503_1,78
Cluster 51344,562.22433.peg.4198,unique,Phage repressor protein cI_12,149
Cluster 51345,562.22433.peg.3969,unique,Propionate catabolism operon regulatory protein PrpR_2,110
Cluster 51346,562.22436.peg.3351,unique,Phage antitermination protein N_3,157
Cluster 51348,562.22445.peg.4801,accessory,VgrG protein_20,212
Cluster 51349,562.22449.peg.3201,unique,AidA-I adhesin-like protein_13,22
Cluster 51352,562.22452.peg.4598,unique,UPF0386 protein YjhX_4,56
Cluster 51355,562.22460.peg.4574,unique,Mobile element protein_178,21
Cluster 51361,562.22484.peg.741,unique,Phage head-tail adapter_3,5
Cluster 51362,562.22490.peg.4903,unique,Phage replication protein GpB_4,33
Cluster 51363,562.22490.peg.4898,unique,Phage protein_140,25
Cluster 51367,562.22511.peg.4407,unique,Putative inner membrane protein YafU_2,8
Cluster 51375,562.22595.peg.4719,unique,Sugar:proton symporter_1,6
Cluster 51378,562.22624.peg.5049,unique,Mobile element protein_304,18
Cluster 51395,562.22796.peg.3970,unique,cellular communication/signal transduction_1,5
Cluster 51400,562.22837.peg.1768,unique,Invasin_31,20
Cluster 51402,562.22862.peg.4806,unique,Phage head-tail adapter_4,9
Cluster 51403,562.22865.peg.4740,unique,N-acetylneuraminic acid outer membrane channel protein NanC_6,29
Cluster 51404,562.22876.peg.4833,unique,IncF plasmid conjugative transfer fertility inhibition protein FinO_7,12
Cluster 51406,562.22900.peg.3542,accessory,Uncharacterized protein YrhB_2,1419
Cluster 51407,562.22903.peg.5003,unique,"Phage tail, component G_8",25
Cluster 51410,562.22935.peg.4894,unique,"Phage-encoded host-nuclease inhibitor protein Mu10, gam_4",28
Cluster 51436,562.23400.peg.4053,core,Uncharacterized protein YgaH_2,1958
Cluster 51459,562.23715.peg.4607,unique,Integron integrase IntI1_11,12
Cluster 51471,562.23913.peg.582,unique,Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)_3,9
Cluster 51478,562.28998.peg.349,unique,"Phage tail tip, assembly protein M_17",5
Cluster 51480,562.31449.peg.4789,unique,Phage protein_536,5
Cluster 51487,562.42635.peg.5411,unique,Phage protein_539,16
Cluster 51491,562.42652.peg.5363,unique,Phage tail formation protein GpD_50,10
Cluster 51523,562.42873.peg.669,unique,"D-tagatose-1,6-bisphosphate aldolase subunit KbaY (EC 4.1.2.40)_4",7
Cluster 51532,562.7653.peg.4603,unique,Phage protein_719,18
Cluster 51547,562.7760.peg.5318,unique,Single-stranded DNA-binding protein_61,7
Cluster 51548,562.7761.peg.5143,unique,"Phage head, major capsid protein E_55",32
Cluster 51553,562.12959.peg.5228,unique,Putative phage tail protein_1,71
Cluster 51554,562.12959.peg.2311,core,"Ferredoxin, 2Fe-2S_1",1970
Cluster 51555,562.12959.peg.810,core,Universal stress protein B_1,1968
Cluster 51557,562.12959.peg.2606,core,Undecaprenyl phosphate-aminoarabinose flippase subunit ArnE_1,1966
Cluster 51559,562.12959.peg.3386,core,Acid shock protein precursor_1,1963
Cluster 51561,562.12959.peg.2428,core,Ethanolamine utilization polyhedral-body-like protein EutM_1,1953
Cluster 51562,562.12959.peg.4165,accessory,Phage tail protein E_1,501
Cluster 51569,562.12961.peg.2496,accessory,Ethanolamine utilization polyhedral-body-like protein EutS_1,303
Cluster 51572,562.16324.peg.180,accessory,Putative glycoportein_2,219
Cluster 51576,562.16466.peg.2494,accessory,Surface presentation of antigens protein SpaM_1,278
Cluster 51586,562.22428.peg.4317,unique,VgrG protein_8,15
Cluster 51587,562.22430.peg.2443,unique,"Maltodextrin ABC transporter, ATP-binding protein MsmX_4",43
Cluster 51588,562.22432.peg.5172,accessory,Anti-adapter protein IraM_4,578
Cluster 51594,562.22448.peg.661,unique,Uncharacterized outer membrane protein YejO_13,86
Cluster 51597,562.22452.peg.4924,unique,Uncharacterized protein YjcZ paralog_1,13
Cluster 51598,562.22454.peg.5228,accessory,Phage protein similar to LexA_1,798
Cluster 51602,562.22462.peg.3850,unique,Uncharacterized fimbrial-like protein YadC_7,5
Cluster 51607,562.22495.peg.2283,unique,putative membrane protein_25,5
Cluster 51611,562.22524.peg.4556,unique,Possible adhesin/hemolysin precursor_2,23
Cluster 51612,562.22538.peg.4516,unique,"Phage tail/DNA circulation protein Mup43, N_3",12
Cluster 51635,562.22664.peg.4723,unique,"Per-activated serine protease autotransporter enterotoxin EspC / autotransporter domain, T5aSS type secretion_10",18
Cluster 51654,562.22823.peg.2627,unique,ATP-dependent Clp protease ATP-binding subunit ClpX_5,31
Cluster 51659,562.22887.peg.4284,unique,Putative uncharacterized protein YlbH_3,25
Cluster 51671,562.22950.peg.2950,unique,FIG005189: putative transferase clustered with tellurite resistance proteins TehA/TehB_4,15
Cluster 51686,562.23049.peg.1043,accessory,Uncharacterized protein YmdA_3,1921
Cluster 51689,562.23101.peg.3385,unique,Outer membrane porin OmpF_17,6
Cluster 51696,562.23164.peg.2714,unique,Phage protein_395,22
Cluster 51698,562.23281.peg.3421,unique,Uncharacterized protein YahE_8,6
Cluster 51706,562.23392.peg.4995,unique,Putative secretion permease_8,25
Cluster 51719,562.23568.peg.4771,unique,"Phage head, terminase subunit Nu1_28",8
Cluster 51727,562.23748.peg.4961,unique,putative transcriptional activator_7,129
Cluster 51728,562.23756.peg.3116,unique,Phenazine biosynthesis protein PhzF like_9,5
Cluster 51748,562.31466.peg.718,unique,core protein_19,11
Cluster 51749,562.31466.peg.2516,unique,Lipid A palmitoyltransferase PagP (EC 2.3.1.251)_13,7
Cluster 51756,562.42686.peg.5032,unique,IncF plasmid conjugative transfer pilus assembly protein TraF_17,5
Cluster 51760,562.42695.peg.4705,unique,"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)_75",5
Cluster 51768,562.42767.peg.5340,unique,Phage tail fiber protein_99,16
Cluster 51773,562.42811.peg.2320,unique,Transposase InsO for insertion sequence element IS911_91,5
Cluster 51779,562.42833.peg.5224,unique,Adenine-specific methyltransferase (EC 2.1.1.72)_14,9
Cluster 51780,562.42835.peg.4084,unique,"Transcriptional regulator, LysR family_122",7
Cluster 51786,562.42872.peg.4989,unique,D-galactonate transporter_17,10
Cluster 51789,562.45398.peg.160,unique,Translation elongation factor Tu_33,53
Cluster 51790,562.45403.peg.3092,unique,IS1 protein InsA_15,7
Cluster 51793,562.7565.peg.4018,unique,Glutamate decarboxylase (EC 4.1.1.15)_50,117
Cluster 51795,562.7576.peg.4129,unique,"Transcriptional regulator YbiH, TetR family_4",5
Cluster 51797,562.7578.peg.5124,unique,Phage activator protein cII_61,12
Cluster 51806,562.7658.peg.5138,unique,"Phage head, major capsid protein E_45",8
Cluster 51810,562.7684.peg.5211,unique,"Phage head, DNA packaging protein FI_18",9
Cluster 51818,562.7758.peg.5463,unique,VgrG protein_239,6
Cluster 51819,562.7785.peg.5284,unique,IncF plasmid conjugative transfer pilus assembly protein TraB_37,12
Cluster 51821,562.12959.peg.2789,core,UPF0339 protein YegP.N / UPF0339 protein YegP.C_1,1946
Cluster 51822,562.12959.peg.3871,accessory,"Phage head, head-DNA stabilization protein D_1",906
Cluster 51823,562.12959.peg.1808,unique,probable exported protein STY4558_1,7
Cluster 51824,562.12959.peg.627,core,LSU ribosomal protein L22p (L17e)_1,1970
Cluster 51825,562.12959.peg.835,core,Chaperone HdeA_1,1963
Cluster 51826,562.12959.peg.4595,core,"Copper/silver efflux RND transporter, periplasmic protein CusF_1",1957
Cluster 51827,562.12959.peg.1549,core,tRNA-binding protein YgjH_1,1967
Cluster 51828,562.12959.peg.5479,accessory,Programmed cell death toxin PemK_1,754
Cluster 51829,562.12959.peg.4005,core,Putative curli production protein CsgC_1,1956
Cluster 51831,562.12959.peg.4733,core,Protein translocase subunit YajC_1,1970
Cluster 51832,562.12960.peg.3376,accessory,Inner membrane protein ygiZ_1,237
Cluster 51834,562.12960.peg.2634,unique,UPF0339 protein YegP.N / UPF0339 protein YegP.C_2,6
Cluster 51836,562.12961.peg.2018,core,RNA-binding protein YhbY_1,1969
Cluster 51839,562.12961.peg.4964,core,Nucleoid-associated protein YaaK_1,1970
Cluster 51846,562.12961.peg.2592,unique,Phage head-tail adapter_2,6
Cluster 51849,562.13502.peg.3905,accessory,Protein FlxA (FliA regulated)_1,199
Cluster 51854,562.16326.peg.4160,accessory,"Hemolysin E, chromosomal_3",364
Cluster 51861,562.19632.peg.4354,unique,Uncharacterized protein YehQ_2,7
Cluster 51862,562.20499.peg.2506,unique,Phage antitermination protein Q_8,23
Cluster 51863,562.22428.peg.4597,unique,Programmed cell death toxin PemK_2,15
Cluster 51865,562.22430.peg.3758,unique,"Transcriptional regulator CidR, LysR family_1",44
Cluster 51866,562.22430.peg.2239,accessory,RelE-like translational repressor toxin_3,715
Cluster 51868,562.22434.peg.4988,unique,IncF plasmid conjugative transfer fertility inhibition protein FinO_3,38
Cluster 51869,562.22437.peg.4923,unique,"Small multidrug resistance (SMR) efflux transporter => QacE, quaternary ammonium compounds_1",29
Cluster 51870,562.22446.peg.5017,unique,Phage activator protein cII_7,33
Cluster 51871,562.22447.peg.4277,unique,Relaxosome component_1,67
Cluster 51873,562.22452.peg.4917,unique,Putative phosphoethanolamine transferase YjgX_11,59
Cluster 51878,562.22454.peg.4733,unique,Relaxosome component_2,158
Cluster 51879,562.22454.peg.4252,unique,Phage protein YdfU family_1,31
Cluster 51881,562.22460.peg.3958,accessory,Phage antitermination protein N_4,223
Cluster 51885,562.22476.peg.4071,accessory,Phage protein_130,1050
Cluster 51886,562.22477.peg.4420,unique,Relaxosome component_3,24
Cluster 51889,562.22479.peg.4420,unique,Inner membrane protein YiaA_3,46
Cluster 51890,562.22482.peg.1311,unique,alpha-xylosidase (EC 3.2.1.177)_7,12
Cluster 51893,562.22494.peg.5069,unique,Holliday junction resolvase / Crossover junction endodeoxyribonuclease rusA (EC 3.1.22.-)_6,17
Cluster 51897,562.22512.peg.5104,unique,Arsenical resistance operon repressor_7,12
Cluster 51898,562.22512.peg.703,unique,Ferrichrome-iron receptor_2,46
Cluster 51902,562.22524.peg.2885,unique,Mobile element protein_244,39
Cluster 51904,562.22529.peg.4583,unique,Transposase InsF for insertion sequence IS3 @ Mobile element protein_5,30
Cluster 51913,562.22571.peg.2292,accessory,putative membrane protein_32,490
Cluster 51921,562.22628.peg.2178,unique,Uncharacterized protein YfbL_7,31
Cluster 51928,562.22643.peg.4408,unique,Heat shock protein C_3,8
Cluster 51933,562.22677.peg.4178,unique,2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)_3,31
Cluster 51938,562.22704.peg.5012,unique,Phage superinfection exclusion protein B_7,11
Cluster 51942,562.22775.peg.763,unique,Transcriptional repressor UidR_3,9
Cluster 51944,562.22801.peg.2601,core,Uncharacterized lipoprotein ChiQ_2,1965
Cluster 51950,562.22869.peg.4654,unique,"Phage tail tip, assembly protein K_11",7
Cluster 51958,562.22970.peg.1610,unique,Type IV fimbrial assembly protein PilC_7,5
Cluster 51962,562.23006.peg.2839,unique,c-di-GMP phosphodiesterase (EC 3.1.4.52) => PdeC_8,5
Cluster 51963,562.23013.peg.3852,unique,Outer membrane usher protein FimD_17,7
Cluster 51965,562.23028.peg.622,unique,Phage protein Ogr_15,67
Cluster 51968,562.23101.peg.4782,unique,Phage recombination protein Bet_11,88
Cluster 51977,562.23212.peg.5146,unique,Antigen 43_52,14
Cluster 51978,562.23225.peg.5129,unique,"Phage tail tip, host specificity protein J_79",79
Cluster 51980,562.23231.peg.5191,unique,IncF plasmid conjugative transfer pilus assembly protein TraU_11,21
Cluster 51988,562.23347.peg.4732,unique,Transposase_301,16
Cluster 52018,562.23782.peg.2523,unique,Putative aldolase YdjI_6,5
Cluster 52033,562.28998.peg.343,unique,Phage head-tail adapter_6,5
Cluster 52046,562.31466.peg.1994,unique,Diguanylate cyclase (EC 2.7.7.65) => DgcI_8,7
Cluster 52049,562.34086.peg.3818,unique,YkgJ family cysteine cluster protein_1,5
Cluster 52051,562.42634.peg.5089,unique,Putative transposase InsK for insertion sequence element IS150_57,45
Cluster 52057,562.42660.peg.5430,unique,Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I_13,6
Cluster 52069,562.42742.peg.5190,unique,core protein_48,5
Cluster 52078,562.42853.peg.3068,unique,Permease of the drug/metabolite transporter (DMT) superfamily_40,14
Cluster 52084,562.45396.peg.405,core,Putative inner membrane protein_66,1946
Cluster 52088,562.45910.peg.3047,unique,Predicted inner membrane protein CbrB_4,7
Cluster 52089,562.7567.peg.1498,unique,Fructoselysine 6-kinase_3,6
Cluster 52090,562.7570.peg.5026,unique,Uncharacterized protein YfdQ_22,9
Cluster 52092,562.7576.peg.5043,unique,Mobile element protein_1375,24
Cluster 52095,562.7635.peg.4019,unique,Uncharacterized lipoprotein YehR_7,8
Cluster 52101,562.7661.peg.2718,unique,"Phage tail fiber, side tail fiber protein Stf_519",5
Cluster 52105,562.7681.peg.5121,unique,Mobile element protein_1460,22
Cluster 52109,562.7695.peg.1578,accessory,mRNA interferase HigB_6,697
Cluster 52117,562.12959.peg.2211,core,ElaB protein_1,1953
Cluster 52118,562.12959.peg.1949,core,Z-ring-associated protein ZapA_1,1970
Cluster 52119,562.12959.peg.3384,core,Spermidine export protein MdtI_1,1967
